Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
carma-messenger,14,10,12,18,16,2,6,6,100%,5,83%,17%,17,245,172,70,3,5,29,14,15,0,0,0,0,0,4,2,2,0,3,0,3,2,1,0
carma-1-tenth,12,11,7,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opendrive2lanelet,30,3,11,0,0,0,0,0,N/A,0,N/A,N/A,N/A,25,16,9,1,5,11,5,6,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
carma-lightbar-driver,2,9,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,80,51,29,0,4,14,8,6,0,0,0,0,0,2,2,0,0,3,0,2,2,0,0
carma-rtk,0,4,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-simulation,0,1,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdasim,42,15,15,25,12,13,15,15,100%,15,100%,50%,22,219,157,62,5,11,27,13,14,0,0,0,0,0,2,2,0,0,1,1,2,2,0,0
ads-traffic-regs,3,12,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cav-education,3,8,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,17,4,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-analytics-fotda,3,10,4,3,3,0,2,2,100%,2,100%,0%,9,100,75,25,2,4,15,11,4,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0
carma-validation,0,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-streets,10,6,11,173,169,4,48,48,100%,48,100%,2%,78,256,239,16,1,5,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosaic,0,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sumo,0,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_vesc_driver,0,6,1,2,0,2,0,0,N/A,0,N/A,0%,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_razor_imu_m0_driver,0,6,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_rplidar_driver,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_zed_driver,0,6,1,1,0,1,0,0,N/A,0,N/A,0%,3,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arena_camera_ros,0,1,1,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-mobileye-driver,0,6,1,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.auto,3,7,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,36,26,10,0,4,11,7,4,0,0,0,0,0,3,3,0,0,2,1,2,2,0,0
tim-bc,0,6,1,2,2,0,0,0,N/A,0,N/A,0%,93,23,19,4,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-novatel-oem7-driver-wrapper,1,7,1,2,2,0,1,1,100%,1,100%,100%,0,36,30,6,0,3,11,9,2,0,0,0,0,0,3,3,0,0,2,1,2,2,0,0
voices-cda-use-case-scenario-database,0,7,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voices-poc,0,9,2,1,1,0,0,0,N/A,0,N/A,0%,0,25,21,4,1,25,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ros1_bridge,1,1,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,35,23,12,1,102,9,6,3,0,0,0,0,0,5,4,1,0,3,3,3,2,1,0
testing-training-tools,0,5,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cda-telematics,1,6,3,88,80,8,16,16,100%,16,100%,1%,45,177,147,22,1,3,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-carla-integration,2,11,3,18,13,5,9,9,100%,9,100%,67%,29,62,48,14,2,6,12,9,3,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0
github_metrics,0,6,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,17,5,12,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
